"REFERENCE","ADDRESS","CATEGORY","LISTED","COUNCIL","PARISH"
"52287","CHESTERHILL HOUSE INCLUDING WALLED GARDEN, NEAR NEWPORT ON TAY","C","07/10/2014","FIFE","NEWPORT-ON-TAY"
"52237","FORMER MORTUARY, STOBHILL HOSPITAL, BALORNOCK ROAD, GLASGOW","C","19/06/2014","GLASGOW, CITY OF","GLASGOW"
"52230","TOMNAHURICH BRIDGE KEEPER'S COTTAGE, CALEDONIAN CANAL, INVERNESS","C","19/06/2014","HIGHLAND","INVERNESS"
"52228","THE WHITEHOUSE INN, FORTH AND CLYDE CANAL, 1647 MARYHILL ROAD, GLASGOW","C","19/06/2014","GLASGOW, CITY OF","GLASGOW"
"52226","LOCK KEEPER'S BOTHY, FORTH AND CLYDE CANAL, BOWLING HARBOUR, BOWLING","C","19/06/2014","WEST DUNBARTONSHIRE","OLD KILPATRICK"
"52224","HARBOUR HOUSE AND COFFEE SHOP (FORMER POST OFFICE), CRINAN CANAL BASIN, CRINAN","C","19/06/2014","ARGYLL AND BUTE","NORTH KNAPDALE"
"52213","WATER HOUSE, PITLOUR HOUSE, STRATHMIGLO","C","19/05/2014","FIFE","STRATHMIGLO"
"52188","ST ANDREWS ROMAN CATHOLIC CHURCH INCLUDING ENTRANCE WALL, 126 VICTORIA STREET, CRAIGSHILL, LIVINGSTON","B","26/03/2014","WEST LOTHIAN","LIVINGSTON"
"52160","SIMPSONS GOLF SHOP, 6 LINKS PARADE, CARNOUSTIE","B","14/01/2014","ANGUS","BARRY"
"52143","ST NICHOLAS PARISH CHURCH (CHURCH OF SCOTLAND) INCLUDING HALLS AND CHURCH OFFICERS ACCOMMODATION, 124 SIGHTHILL LOAN, 517-519 CALDER ROAD, WESTER HAILES ROAD, EDINBURGH","B","17/12/2013","EDINBURGH, CITY OF","EDINBURGH"
"52132","HAMILTON PARK RACECOURSE, WEIGHING ROOM BOTHWELL ROAD, HAMILTON","C","12/12/2013","SOUTH LANARKSHIRE","HAMILTON"
"52109","SOUTHPARK HOUSE, SOUTHPARK AND WOODWYND, INCLUDING GARDEN WALL, SOUTHWOOD ROAD, TROON (EXCLUDING FLAT-ROOFED EXTENSION TO EAST)","C","31/10/2013","SOUTH AYRSHIRE","DUNDONALD"
"52105","3 MILLHILL, MUSSELBURGH RACECOURSE, OLD STAND","C","31/10/2013","EAST LOTHIAN","MUSSELBURGH"
"52044","HILLSIDE, FORMER SUNNYSIDE HOSPITAL, FORMER HOSPITAL BUILDING","B","12/06/2013","ANGUS","MONTROSE"
"52002","2060 POLLOKSHAWS ROAD, POLLOK COUNTRY PARK, THE BURRELL COLLECTION","A","23/01/2013","GLASGOW, CITY OF","GLASGOW"
"51957","BARONY CASTLE HOTEL, THE GREAT POLISH MAP OF SCOTLAND","B","21/08/2012","SCOTTISH BORDERS","EDDLESTON"
"51952","ELIE, TOLL GREEN, DRINKING FOUNTAIN","C","09/08/2012","FIFE","ELIE AND EARLSFERRY"
"51942","MONTEVIOT HOUSE, INCLUDING BELL TOWER AND GARDEN TERRACES","B","05/07/2012","SCOTTISH BORDERS","CRAILING"
"51877","DOCK PARK, GROUP OF 9 CAST IRON BENCHES","B","24/02/2012","DUMFRIES AND GALLOWAY","DUMFRIES"
"51846","NORTH HAUGH, UNIVERSITY OF ST ANDREWS, ANDREW MELVILLE HALL","A","18/11/2011","FIFE","ST ANDREWS"
"51834","KINLOCHLEVEN HYDROELECTRIC SCHEME AND FORMER ALUMINIUM SMELTER, VALVE-HOUSE. EXCLUDING AQUEDUCT TO EAST AND PIPES TO WEST","A","14/11/2011","HIGHLAND","LISMORE AND APPIN"
"51789","BRODICK CASTLE ESTATE, SYLVANIA","C","22/07/2011","NORTH AYRSHIRE","KILBRIDE"
"51781","GLENALMOND COLLEGE, MUSIC PRACTICE AND TEACHING ROOMS","C","19/07/2011","PERTH AND KINROSS","METHVEN"
"51775","1-4 (CONSECUTIVE NOS) BUNCLES COURT, 30-38 (EVEN NOS) LAMER STREET","B","19/07/2011","EAST LOTHIAN","DUNBAR"
"51752","GREYHOPE ROAD, CAPSTAN JETTY","C","03/06/2011","ABERDEEN, CITY OF","ABERDEEN"
"51734","AIRFIELD FARM, INCLUDING FARMHOUSE AND STEADING","C","25/03/2011","MIDLOTHIAN","CRANSTON"
"51717","GRAMPIAN HYDRO ELECTRIC SCHEME, RANNOCH VALVE-HOUSE","B","11/02/2011","PERTH AND KINROSS","FORTINGALL"
"51699","GALLOWAY HYDROELECTRIC POWER SCHEME, CLATTERINGSHAWS DAM","B","11/02/2011","DUMFRIES AND GALLOWAY","MINNIGAFF"
"51691","GALLOWAY HYDROELECTRIC POWER SCHEME, KENDOON NORTH DAM","B","11/02/2011","DUMFRIES AND GALLOWAY","CARSPHAIRN"
"51688","BEN CRUACHAN HYDRO ELECTRIC SCHEME, TURBINE HALL","A","11/02/2011","ARGYLL AND BUTE","ARDCHATTAN AND MUCKAIRN"
"51689","LUSSA HYRDO ELECTRIC SCHEME, LUSSA POWER STATION, INCLUDING BOUNDARY WALLS","B","11/02/2011","ARGYLL AND BUTE","CAMPBELTOWN"
"51630","WEST LINTON, CHAPEL BRAE, THE RECTORY (FORMER ST MUNGO'S MANSE)","C","04/11/2010","SCOTTISH BORDERS","LINTON"
"51615","SPEAN BRIDGE STATION AND SIGNAL BOX","C","05/10/2010","HIGHLAND","KILMONIVAIG"
"51613","19 AND 19A ARNOTHILL, ARNOTHALL, INCLUDING FORMER STABLES, BOUNDARY WALLS, RAILINGS AND GATEPIERS","C","05/10/2010","FALKIRK","FALKIRK"
"51592","23-27 TOWNHEAD","C","16/09/2010","EAST DUNBARTONSHIRE","KIRKINTILLOCH"
"51589","STATION PARK, TIMBER PAVILION","C","16/09/2010","DUMFRIES AND GALLOWAY","MOFFAT"
"51587","LOON'S ROAD, NORTH TAY CENTRE","B","16/09/2010","DUNDEE, CITY OF","DUNDEE"
"51552","16-20 (EVEN NOS) LAINSHAW STREET, INCLUDING OUTBUILDINGS","C","04/06/2010","EAST AYRSHIRE","STEWARTON"
"51501","BRIDGE OF DEE LODGE (THREEPENNY-BIT COTTAGE)","B","12/03/2010","ABERDEENSHIRE","CRATHIE AND BRAEMAR"
"51496","BALMORAL CASTLE, THE SURGERY, FORMER TELEPHONE EXCHANGE","B","12/03/2010","ABERDEENSHIRE","CRATHIE AND BRAEMAR"
"51473","BALMORAL CASTLE, ENTRANCE GATES, GATEPIERS, QUADRANT WALLS AND LAMP STANDARDS","C","12/03/2010","ABERDEENSHIRE","CRATHIE AND BRAEMAR"
"51469","BALMORAL CASTLE, 4 DAIRY COTTAGES AND OFFICES","C","12/03/2010","ABERDEENSHIRE","CRATHIE AND BRAEMAR"
"51465","BALMORAL CASTLE, THE CROFT","B","12/03/2010","ABERDEENSHIRE","CRATHIE AND BRAEMAR"
"51517","GARMADDIE COTTAGE","C","12/03/2010","ABERDEENSHIRE","CRATHIE AND BRAEMAR"
"51513","GARBH ALLT FALLS BRIDGE","A","12/03/2010","ABERDEENSHIRE","CRATHIE AND BRAEMAR"
"51445","BIRKHALL, DRIVE BRIDGE","C","12/03/2010","ABERDEENSHIRE","GLENMUICK, TULLICH AND GLENGAIRN"
"51446","BIRKHALL, KEEPER'S HOUSE","B","12/03/2010","ABERDEENSHIRE","GLENMUICK, TULLICH AND GLENGAIRN"
"51443","MONCREIFFE ESTATE, WEST LODGE INCLUDING GATE AND QUADRANT WALLS","C","12/03/2010","PERTH AND KINROSS","DUNBARNEY"
"51407","MAYFIELD ROAD, EDINBURGH UNIVERSITY KINGS BUILDINGS, HUDSON BEARE LECTURE THEATRE, DEPARTMENT OF ENGINEERING, INCLUDING HARD LANDSCAPING AND RETAINING BOUNDARY WALLS","B","14/12/2009","EDINBURGH, CITY OF","EDINBURGH"
"51399","MILLEARNE, STABLE (GARAGE) BLOCK","B","25/11/2009","PERTH AND KINROSS","TRINITY GASK"
"51387","FASQUE, HOME FARM BOTHY","C","29/10/2009","ABERDEENSHIRE","FETTERCAIRN"
"51376","1 LOUDOUN STREET","C","22/09/2009","EAST AYRSHIRE","STEWARTON"
"51371","3-7 (ODD NOS) LAINSHAW STREET","C","22/09/2009","EAST AYRSHIRE","STEWARTON"
"51362","YORK PLACE, TRINITY CHURCH OF THE NAZARENE, INCLUDING BOUNDARY WALL AND GATEPIERS","C","22/09/2009","PERTH AND KINROSS","PERTH"
"51344","8 SUNBURY MEWS AND 3 SUNBURY STREET","C","22/07/2009","EDINBURGH, CITY OF","EDINBURGH"
"51338","12, 13 BELFORD MEWS","C","22/07/2009","EDINBURGH, CITY OF","EDINBURGH"
"51319","96 INVERLEITH PLACE","C","30/04/2009","EDINBURGH, CITY OF","EDINBURGH"
"51306","GLENELG SLIPWAY (KYLERHEA FERRY)","B","30/03/2009","HIGHLAND","GLENELG"
"51302","11-15 (ODD NOS) TOWNFOOT, POST OFFICE","C","17/03/2009","SCOTTISH BORDERS","STOW"
"51300","SYMINGTON HOUSE INCLUDING GATE LODGE AND BOUNDARY WALLS","C","17/03/2009","SCOTTISH BORDERS","STOW"
"51299","175 AND 177 GALASHIELS ROAD (FORMER SCHOOL) INCLUDING 179 GALASHIELS ROAD (FORMER SCHOOLMASTER'S HOUSE) AND BOUNDARY WALLS","C","17/03/2009","SCOTTISH BORDERS","STOW"
"51275","MUGDOCK RESERVOIR, MUGDOCK COTTAGE (FORMER GLASGOW CORPORATION WATER WORKS)","C","08/12/2008","EAST DUNBARTONSHIRE","NEW KILPATRICK"
"51224","12 AND 13 OLIVER PLACE AND 1 CROFT ROAD","C","18/11/2008","SCOTTISH BORDERS","HAWICK"
"51195","7-11 (ODD NUMBERS) BUCCLEUCH STREET, PETER SCOTT'S FACTORY","C","18/11/2008","SCOTTISH BORDERS","HAWICK"
"51180","1-7 (ODD NOS) ROXBURGH STREET, INCLUDING RAILINGS","C","26/09/2008","EDINBURGH, CITY OF","EDINBURGH"
"51177","HOLYROODHOUSE, QUEEN'S GALLERY (FORMER HOLYROOD FREE CHURCH AND FORMER FREE CHURCH SCHOOL)","B","26/09/2008","EDINBURGH, CITY OF","EDINBURGH"
"51162","THE HOUSE OF NARROW GATES WITH OUTBUILDINGS AND GARDEN STRUCTURES","C","16/09/2008","SCOTTISH BORDERS","ST BOSWELLS"
"51152","CASTLE BURN AQUEDUCT BRIDGE (FORMER GLASGOW CORPORATION WATER WORKS)","A","18/08/2008","STIRLING","DRYMEN"
"51150","COULIGARTAN AQUEDUCT OVERFLOW OR OUTLET INCORPORATING BRIDGE (FORMER GLASGOW CORPORATION WATER WORKS)","B","18/08/2008","STIRLING","ABERFOYLE"
"51145","BLAIRQUHOSH BYEWASH (FORMER GLASGOW CORPORATION WATER WORKS)","B","18/08/2008","STIRLING","STRATHBLANE"
"51141","BALLEWAN BYEWASH 1 (FORMER GLASGOW CORPORATION WATER WORKS)","B","18/08/2008","STIRLING","STRATHBLANE"
"51113","HODGE STREET AND COCKBURN STREET, ERSKINE PARISH CHURCH (CHURCH OF SCOTLAND) INCLUDING CHURCH HALL AND BOUNDARY WALL","C","16/06/2008","FALKIRK","FALKIRK"
"51035","MONCUR MEMORIAL CHURCH (CHURCH OF SCOTLAND)","C","22/01/2008","ORKNEY ISLANDS","STRONSAY"
"52247","FISH HOUSE AND STORE, 2 WILLIAM STREET, GOURDON HARBOUR, GOURDON","C","04/07/2014","ABERDEENSHIRE","BERVIE"
"52177","PITCORTHIE HOUSE INCLUDING GOODALL COTTAGE, GARDEN WALLS AND OUTBUILDING, COLINSBURGH, LEVEN","A","28/02/2014","FIFE","KILCONQUHAR"
"52163","BOYLE PARK BOWLING PAVILION, FORFAR","C","14/01/2014","ANGUS","FORFAR"
"52162","FORFAR SWIMMING POOL AND BOUNDARY WALL, THE VENNEL, FORFAR","C","14/01/2014","ANGUS","FORFAR"
"52161","PANMURE GOLF CLUB NEAR BARRY","B","14/01/2014","ANGUS","BARRY"
"52147","WAUCHOPE MEMORIAL, 267 NIDDRIE MAINS ROAD. EDINBURGH","C","07/01/2014","EDINBURGH, CITY OF","EDINBURGH"
"52103","ABERLADY, KILSPINDIE GOLF CLUB INCLUDING PRO SHOP AND BOILER BLOCK","C","31/10/2013","EAST LOTHIAN","ABERLADY"
"52067","1 CARLTON PLACE, GLASGOW AND STRATHKELVIN SHERIFF COURT INCLUDING CONTROL ROOM, TERRACING, HARD STANDING AND BOUNDARY WALL","B","20/08/2013","GLASGOW, CITY OF","GLASGOW"
"52055","DUNKELD AND BIRNAM STATION, SIGNAL BOX","B","28/06/2013","PERTH AND KINROSS","LITTLE DUNKELD"
"52050","HILLSIDE, FORMER SUNNYSIDE HOSPITAL, WATER TANK AND FORMER WORKSHOPS","C","12/06/2013","ANGUS","MONTROSE"
"52048","HILLSIDE, FORMER SUNNYSIDE HOSPITAL, NORTH ESK VILLA","C","12/06/2013","ANGUS","MONTROSE"
"52045","HILLSIDE, FORMER SUNNYSIDE HOSPITAL, GARAGE AND FORMER FIRE STATION AND WEIGHBRIDGE","C","12/06/2013","ANGUS","MONTROSE"
"52043","HILLSIDE, FORMER SUNNYSIDE HOSPITAL, BOOTH HOUSE, (FORMER NURSES' HOME)","C","12/06/2013","ANGUS","MONTROSE"
"52032","BALTASOUND, HALLIGARTH HOUSE, INCLUDING WALLED GARDEN AND GRAVEYARD","C","29/04/2013","SHETLAND ISLANDS","UNST"
"52018","ARTHURSTONE HOUSE, TIMBER CURLING PAVILION","C","22/03/2013","PERTH AND KINROSS","COUPAR ANGUS"
"51987","MACONOCHIE ROAD, KESSOCK ROAD, FORMER CONSOLIDATED PNEUMATIC TOOL WORKS SITE: OFFICE BLOCK AND FORMER WORKSHOP FACING MACONOCHIE ROAD, 2-BAY SAWTOOTHED MACHINE SHOP TO REAR OF OFFICE, AND BOUNDARY WALLS, RAILINGS AND GATEPIERS ONLY","C","05/12/2012","ABERDEENSHIRE","FRASERBURGH"
"51982","NORANSIDE WALLED GARDEN","C","05/12/2012","ANGUS","FERN"
"51943","MONTEVIOT ESTATE, STABLES, INCLUDING EAST AND WEST STABLES HOUSE","C","05/07/2012","SCOTTISH BORDERS","CRAILING"
"51932","MONTRAVE HOUSE (FORMERLY MONTRAVE STEADING)","C","25/06/2012","FIFE","SCOONIE"
"51913","BANGOUR VILLAGE HOSPITAL, DORMITORY BLOCK, (VILLA  9)","C","17/05/2012","WEST LOTHIAN","ECCLESMACHAN"
"51862","CLACHNAHARRY HIGH STREET, FORMER CLACHNAHARRY PUBLIC SCHOOL","C","18/01/2012","HIGHLAND","INVERNESS"
"51852","INGLESTON FARM, WASH HOUSE","B","14/12/2011","DUMFRIES AND GALLOWAY","BORGUE"
"51845","BOQUHAN, TOWER FOLLY","C","18/11/2011","STIRLING","KIPPEN"
"51828","CULZEAN CASTLE ESTATE,SHORE BOAT HOUSE AND SLIPWAY","C","02/11/2011","SOUTH AYRSHIRE","KIRKOSWALD"
"51807","DENHOLM, SUSPENSION BRIDGE TOWERS","C","23/09/2011","SCOTTISH BORDERS","CAVERS"
"51792","BEAUFORT DRIVE, HENGE","C","09/08/2011","FIFE","KINGLASSIE"
"51783","TWATT AIRFIELD (FORMER HMS TERN), COMBINED CONTROL TOWER AND OPERATIONS BLOCK","B","15/07/2011","ORKNEY ISLANDS","BIRSAY AND HARRAY"
"51780","LONGNIDDRY, 25 KINGS ROAD, WEST COURT INCLUDING GARAGES AND ENTRANCE FORECOURT","C","19/07/2011","EAST LOTHIAN","GLADSMUIR"
"51773","7 AND 9 LAVEROCKBANK AVENUE AND 13-17 (CONSECUTIVE NOS) LAVEROCKBANK CRESCENT INCLUDING LOCKUP GARAGES","B","19/07/2011","EDINBURGH, CITY OF","EDINBURGH"
"51774","16 GLENLOCKHART ROAD, GLENWOOD INCLUDING GARAGE, BOUNDARY WALLS, GATEPIERS AND GATES","B","19/07/2011","EDINBURGH, CITY OF","EDINBURGH"
"51732","GRETNA VILLAGE, 121 CENTRAL AVENUE, FORMER GRETNA CINEMA","C","25/03/2011","DUMFRIES AND GALLOWAY","GRETNA"
"51727","FALLS OF CLYDE, BONNINGTON POWER STATION WITH TANK AND PIPES","A","03/03/2011","SOUTH LANARKSHIRE","LANARK"
"51709","CONON VALLEY HYDRO ELECTRIC SCHEME, TORR ACHILTY POWER STATION AND DAM","C","11/02/2011","HIGHLAND","URRAY"
"51708","CONON VALLEY HYDRO ELECTRIC SCHEME, ORRIN DAM WITH INTEGRATED FISH PASS","B","11/02/2011","HIGHLAND","URRAY"
"51704","GREAT GLEN HYDRO ELECTRIC SCHEME, QUOICH DAM AND INTAKE GATEHOUSE TOWERS","B","11/02/2011","HIGHLAND","KILMONIVAIG"
"51700","FOYERS HYDROELECTRIC POWER SCHEME AND FORMER ALUMINIUM SMELTER, LOCH MHOR DAM","C","11/02/2011","HIGHLAND","BOLESKINE AND ABERTARFF"
"51694","GALLOWAY HYDROELECTRIC POWER SCHEME, KENDOON POWER STATION AND VALVE-HOUSE","B","11/02/2011","DUMFRIES AND GALLOWAY","DALRY"
"51693","GALLOWAY HYDROELECTRIC POWER SCHEME, KENDOON SURGE TOWER","C","11/02/2011","DUMFRIES AND GALLOWAY","DALRY"
"51660","DRUMDRYAN QUARRY POWDER MAGAZINE","C","17/12/2010","FIFE","CUPAR"
"51640","37-43 SCOTT STREET AND 141 AND 143 SOUTH STREET","C","19/11/2010","PERTH AND KINROSS","PERTH"
"51637","ATHOLL STREET, FORMER ST ANDREWS CHURCH","C","19/11/2010","PERTH AND KINROSS","PERTH"
"51627","CARLOPS, CARLOPS PARISH CHURCH","C","04/11/2010","SCOTTISH BORDERS","LINTON"
"51628","SPITALHAUGH, DOOCOT HOUSE","C","04/11/2010","SCOTTISH BORDERS","LINTON"
"51609","HALLYBURTON ESTATE, WEST LODGE, GATE AND QUADRANT WALLS","B","05/10/2010","PERTH AND KINROSS","KETTINS"
"51594","STONE BRIDGE OVER FORMER RAILWAY NEAR EAST LODGE, LENNOXTOWN","C","16/09/2010","EAST DUNBARTONSHIRE","CAMPSIE"
"51588","PARTICK CURLING CLUB PAVILION, VICTORIA PARK, PARTICK, GLASGOW","C","16/09/2010","GLASGOW, CITY OF","GLASGOW"
"51575","THREEPWOOD HOUSE INCLUDING STABLE, CARTSHED AND BOUNDARY WALLS","C","22/07/2010","SCOTTISH BORDERS","MELROSE"
"51570","RAVENSWOOD, NORTH LODGE INCLUDING GATES AND RAILINGS","B","22/07/2010","SCOTTISH BORDERS","MELROSE"
"51569","RAVENSWOOD HOUSE","B","22/07/2010","SCOTTISH BORDERS","MELROSE"
"51567","NEWTON ST BOSWELLS, TWEEDSIDE ROAD, NEWTON HOUSE INCLUDING BOUNDARY WALL","C","22/07/2010","SCOTTISH BORDERS","MELROSE"
"51560","GATTONSIDE, ALLERLY HOUSE INCLUDING STABLE BLOCK, GARDEN WALL, LODGE AND GATEPIERS","B","22/07/2010","SCOTTISH BORDERS","MELROSE"
"51549","CHAMBERS STREET, LAMP STANDARD","B","27/05/2010","EDINBURGH, CITY OF","EDINBURGH"
"51547","304-332 (EVEN NOS) SAUCHIEHALL STREET, FORMER ABC REGAL CINEMA, THE O2","C","27/05/2010","GLASGOW, CITY OF","GLASGOW"
"51491","BALMORAL CASTLE, STABLES (CARRIAGE EXHIBITION), COACH HOUSE AND ESTATES OFFICE","A","12/03/2010","ABERDEENSHIRE","CRATHIE AND BRAEMAR"
"51472","BALMORAL CASTLE, EAST LODGE (HEAD GARDENER'S COTTAGE)","B","12/03/2010","ABERDEENSHIRE","CRATHIE AND BRAEMAR"
"51518","GLEN GELDER, GELDER SHIEL WITH OUTBUILDING","C","12/03/2010","ABERDEENSHIRE","CRATHIE AND BRAEMAR"
"51511","EASTER BALMORAL, RHEBRECK, INCLUDING TIMBER SHED","B","12/03/2010","ABERDEENSHIRE","CRATHIE AND BRAEMAR"
"51508","EASTER BALMORAL, 1 AND 2 JUBILEE COTTAGES","C","12/03/2010","ABERDEENSHIRE","CRATHIE AND BRAEMAR"
"51458","DELNADAMPH, MAINS COTTAGE AND KENNELS","C","12/03/2010","ABERDEENSHIRE","STRATHDON"
"51456","KNOCK STEADINGS","B","12/03/2010","ABERDEENSHIRE","GLENMUICK, TULLICH AND GLENGAIRN"
"51457","LOCH MUICK, GLAS ALLT SHIEL WITH COTTAGE AND BOAT SLIP","B","12/03/2010","ABERDEENSHIRE","GLENMUICK, TULLICH AND GLENGAIRN"
"51450","BIRKHALL, STERINBEG AND OUTBUILDING","C","12/03/2010","ABERDEENSHIRE","GLENMUICK, TULLICH AND GLENGAIRN"
"51451","BROCHDU FARMHOUSE, TRAPPER'S HOUSE, RANGER'S HOUSE AND STORE","C","12/03/2010","ABERDEENSHIRE","GLENMUICK, TULLICH AND GLENGAIRN"
"51429","NEW LANARK ROAD, BRAXFIELD HOUSE, WALLED GARDEN INCLUDING BOTHY AND LINKING ARCH AND EXCLUDING COTTAGE AT 76 NEW LANARK ROAD","C","19/02/2010","SOUTH LANARKSHIRE","LANARK"
"51422","RAF LEUCHARS, TECHNICAL SIDE, FORMER OPERATIONS BLOCK, BUILDING 181","C","08/02/2010","FIFE","LEUCHARS"
"51418","RAF LEUCHARS, DOMESTIC SIDE, FORMER BARRACKS BLOCKS,  BUILDINGS 25, 26 AND 27","B","08/02/2010","FIFE","LEUCHARS"
"51402","RITCHIE STREET, OVERTON CHURCH (CHURCH OF SCOTLAND), INCLUDING BOUNDARY WALL, GATEPIERS AND GATES","B","25/11/2009","NORTH AYRSHIRE","WEST KILBRIDE"
"51401","GARRYNAMONIE, OUR LADY OF SORROWS RC CHURCH INCLUDING BOUNDARY WALLS AND GATEPIERS","B","17/11/2009","WESTERN ISLES","SOUTH UIST"
"51396","GUARDBRIDGE, PAPER MILL (FORMER), MAIN STREET BUILDINGS NUMBERS 1, 2, 3, 3A, 4, 6, 7, 8, 17 AND 26","B","11/11/2009","FIFE","LEUCHARS"
"51377","11-15 (ODD NOS) MAIN STREET","C","22/09/2009","EAST AYRSHIRE","STEWARTON"
"51373","15-19 (ODD NOS) LAINSHAW STREET","C","22/09/2009","EAST AYRSHIRE","STEWARTON"
"51352","BALMACLELLAN CHURCH AND CHURCHYARD, INCLUDING CRIMEAN WAR MEMORIAL AND BOUNDARY WALLS","B","31/08/2009","DUMFRIES AND GALLOWAY","BALMACLENNAN"
"51313","NORTON FARMHOUSE","C","30/03/2009","SCOTTISH BORDERS","LAUDER"
"51314","THIRLESTANE CASTLE ESTATE, GARDEN COTTAGE","C","30/03/2009","SCOTTISH BORDERS","LAUDER"
"51311","EAST HIGH STREET, WYNDHEAD STABLES LODGE","C","30/03/2009","SCOTTISH BORDERS","LAUDER"
"51309","CASTLE WYND, HUME LODGE INCLUDING BOUNDARY WALL TO N AND W","C","30/03/2009","SCOTTISH BORDERS","LAUDER"
"51308","23 INVERLEITH TERRACE, ST COLM'S COLLEGE INCLUDING BOUNDARY WALLS AND CAST IRON RAILING PANELS","B","30/03/2009","EDINBURGH, CITY OF","EDINBURGH"
"51291","GEORGE STREET, ST MARTIN AND ST NINIAN ROMAN CATHOLIC CHURCH, INCLUDING QUADRANT WALLS","C","23/02/2009","DUMFRIES AND GALLOWAY","WHITHORN"
"51274","MUGDOCK RESERVOIR, CRAIGHOLM (FORMER GLASGOW CORPORATION WATER WORKS)","C","08/12/2008","EAST DUNBARTONSHIRE","NEW KILPATRICK"
"51259","BRACO, FRONT STREET, LITTLE ARDOCH INCLUDING RAILINGS","C","08/12/2008","PERTH AND KINROSS","ARDOCH"
"51234","SUNNYHILL ROAD, WOODNORTON","B","18/11/2008","SCOTTISH BORDERS","HAWICK"
"51228","ROSALEE BRAE, LITTLE SALT HALL","C","18/11/2008","SCOTTISH BORDERS","HAWICK"
"51218","NORTH BRIDGE STREET, HAWICK LIBRARY, INCLUDING 1 AND 2 LAIDLAW TERRACE","B","18/11/2008","SCOTTISH BORDERS","HAWICK"
"51216","9 LOCKHART PLACE, NEWBIGGIN","C","18/11/2008","SCOTTISH BORDERS","HAWICK"
"51206","REAR OF 21 HIGH STREET, FORMER WILLIAM BECK'S STOCKING SHOP","C","18/11/2008","SCOTTISH BORDERS","HAWICK"
"51201","23 HAVELOCK STREET","B","18/11/2008","SCOTTISH BORDERS","HAWICK"
"51194","BUCCLEUCH ROAD, PARKVIEW, INCLUDING BOUNDARY WALL, GATE, STEPS AND LAMP POST","C","18/11/2008","SCOTTISH BORDERS","HAWICK"
"51193","BUCCLEUCH ROAD, INGLESIDE, INCLUDING ANCILLARY STRUCTURES AND BOUNDARY WALLS","C","18/11/2008","SCOTTISH BORDERS","HAWICK"
"51190","2 AND 4 BOURTREE PLACE, EASTBANK HOUSE","C","18/11/2008","SCOTTISH BORDERS","HAWICK"
"51168","NEW GLOBE BINGO AND SOCIAL CLUB (FORMER GLOBE CINEMA) 7 AND 9 HIGH STREET","C","24/09/2008","RENFREWSHIRE","JOHNSTONE"
