"REFERENCE","ADDRESS","CATEGORY","LISTED","COUNCIL","PARISH"
"51131","KIRKTON OF SKENE, PROCTOR'S ORPHANAGE INCLUDING STEADING","C","09/07/2008","ABERDEENSHIRE","SKENE"
"51120","4 AND 6 BRIDGE STREET, THE GRAPES, INCLUDING COURTYARD OUTBUILDINGS AT REAR","C","26/06/2008","DUMFRIES AND GALLOWAY","STRANRAER"
"51096","CASTLETON HOUSE INCLUDING GATEPIERS","C","21/05/2008","ARGYLL AND BUTE","KILMICHAEL GLASSARY"
"51092","BREACHACHA  STEADING AND FARMHOUSE","B","21/05/2008","ARGYLL AND BUTE","COLL"
"51091","COLL PARISH CHURCH (CHURCH OF SCOTLAND)","C","21/05/2008","ARGYLL AND BUTE","COLL"
"51073","1 BUCCLEUCH STREET, INNERLEITHEN PUBLIC LIBRARY INCLUDING BOUNDARY WALLS","C","21/05/2008","SCOTTISH BORDERS","INNERLEITHEN"
"51064","CHIEFSWOOD ROAD, FORMER DINGLETON HOSPITAL BOILER HOUSE INCLUDING BOUNDARY WALLS","B","17/03/2008","SCOTTISH BORDERS","MELROSE"
"51038","KIRKWALL HARBOUR LIGHT (OLD)","C","24/01/2008","ORKNEY ISLANDS","KIRKWALL AND ST OLA"
"52327","THE TENEMENT HOUSE, FLAT 1/2, 145 BUCCLEUCH STREET, GLASGOW","B","14/01/2015","GLASGOW, CITY OF","GLASGOW"
"52278","FORMER ELCHO AND BIRNAM WARDS, FORMER MURRAY ROYAL ASYLUM, MUIRHALL ROAD, PERTH","C","03/09/2014","PERTH AND KINROSS","PERTH"
"52240","FORMER PORTER'S LODGE, FORMER ABERDEEN ROYAL INFIRMARY, WOOLMANHILL, ABERDEEN","B","19/06/2014","ABERDEEN, CITY OF","ABERDEEN"
"52222","BANNATYNE COTTAGE INCLUDING GATEPIERS, CRINAN CANAL, AT DUNARDRY SWING BRIDGE, DUNARDRY","C","19/06/2014","ARGYLL AND BUTE","NORTH KNAPDALE"
"52223","CANAL OFFICE, PIER SQUARE, ARDRISHAIG","C","19/06/2014","ARGYLL AND BUTE","SOUTH KNAPDALE"
"52187","ST GABRIEL'S CHURCH INCLUDING BOUNDARY WALLS, RAILINGS AND CROSS, WEST LOAN, PRESTONPANS","B","26/03/2014","EAST LOTHIAN","PRESTONPANS"
"52167","THE PRINCESS ROYAL AND DUKE OF FIFE MEMORIAL PARK, PATRON'S PAVILION, PRIVATE ENCLOSURE AND GATEPIERS ONLY, BROOMBANK TERRACE, BRAEMAR","C","15/01/2014","ABERDEENSHIRE","CRATHIE AND BRAEMAR"
"52142","CLUBHOUSE, KINGUSSIE GOLF COURSE, KINGUSSIE","C","19/12/2013","HIGHLAND","KINGUSSIE"
"52072","COLMONELL, BARDROCHAT HOUSE","B","30/08/2013","SOUTH AYRSHIRE","COLMONELL"
"52062","ROGART SOUTH, FORMER SIGNAL BOX","C","28/06/2013","HIGHLAND","ROGART"
"52057","CORROUR STATION, WAITING ROOM AND SIGNAL BOX","C","28/06/2013","HIGHLAND","KILMONIVAIG"
"52053","ELGIN CENTRE, SIGNAL BOX","C","28/06/2013","MORAY","ELGIN"
"52052","PRINCES STREET GARDENS, WAVERLEY WEST SIGNAL BOX","B","28/06/2013","EDINBURGH, CITY OF","EDINBURGH"
"52027","LOCHGILPHEAD, BLARBUIE ROAD, ARGYLL AND BUTE HEALTH BOARD HEADQUARTERS, AROS BUILDING, (FORMER POORHOUSE) INCLUDING AROS COTTAGE AND BOUNDARY WALL","C","17/04/2013","ARGYLL AND BUTE","KILMICHAEL GLASSARY"
"51962","131 ROTTENROW, UNIVERSITY OF STRATHCLYDE, ARCHITECTURE BUILDING","B","04/09/2012","GLASGOW, CITY OF","GLASGOW"
"51944","MONTEVIOT ESTATE, HARESTANES VISITORS' CENTRE (FORMER HOME FARM AND STEADING), FARMHOUSE AND FORMER KITCHEN GARDEN","C","05/07/2012","SCOTTISH BORDERS","CRAILING"
"51937","ARNISTON HOUSE, SUNDIAL","C","05/07/2012","MIDLOTHIAN","BORTHWICK"
"51922","MEIKLEOUR, VILLAGE HALL AND INSTITUTE","C","17/05/2012","PERTH AND KINROSS","CAPUTH"
"51914","BANGOUR VILLAGE HOSPITAL, HONEYSUCKLE COTTAGE","C","17/05/2012","WEST LOTHIAN","ECCLESMACHAN"
"51857","22 BANK STREET, DR BLACK'S MEMORIAL HALL","C","21/12/2011","HIGHLAND","INVERNESS"
"51837","HARRIETFIELD, DRUMTOCHTY TAVERN","C","16/11/2011","PERTH AND KINROSS","LOGIEALMOND"
"51803","WEST BANKS AVENUE, WICK HIGH SCHOOL","C","02/09/2011","HIGHLAND","WICK"
"51788","BRODICK CASTLE ESTATE, SOUTH GATES","C","22/07/2011","NORTH AYRSHIRE","KILBRIDE"
"51779","19A,19B, 19C VICTORIA STREET, 10 AND 12 WRITER'S COURT INCLUDING BOUNDARY WALLS","B","19/07/2011","EAST LOTHIAN","DUNBAR"
"51757","SPITAL, 15 AND 17 SPITAL","B","03/06/2011","ABERDEEN, CITY OF","ABERDEEN"
"51738","VICTORIA PARK, CLOCK","C","26/04/2011","GLASGOW, CITY OF","GLASGOW"
"51733","LOCHWINNOCH, 51 AND 53 HIGH STREET, LOCHWINNOCH COMMUNITY LIBRARY, INCLUDING BOUNDARY WALL","C","25/03/2011","RENFREWSHIRE","LOCHWINNOCH"
"51715","GRAMPIAN HYDRO ELECTRIC SCHEME, TUMMEL POWER STATION","A","11/02/2011","PERTH AND KINROSS","DULL"
"51714","TUMMEL GARRY HYDRO ELECTRIC SCHEME, ERROCHTY DAM INCLUDING TUNNEL INTAKE GATEHOUSE","B","11/02/2011","PERTH AND KINROSS","BLAIR ATHOLL"
"51711","GALLOWAY HYDRO ELECTRIC POWER SCHEME, LOCH DOON DAM","C","11/02/2011","EAST AYRSHIRE","DALMELLINGTON"
"51702","GLEN AFFRIC HYDRO ELECTRIC SCHEME, MONAR DAM AND DEANIE TUNNEL INTAKE TOWER","B","11/02/2011","HIGHLAND","KILMORACK"
"51683","BUILDING NO 1, SPIRIT AEROSYSTEMS, PRESTWICK, (FORMER PALACE OF ENGINEERING)","C","25/01/2011","SOUTH AYRSHIRE","MONKTON AND PRESTWICK"
"51658","CONON BRIDGE, HIGH STREET, THE DROUTHY DUCK","C","17/12/2010","HIGHLAND","URQUHART AND LOGIE WESTER"
"51659","SOUTH STREET, FORMER LINEN WORKS, OFFICE BUILDING WITH ITALIANATE TOWER","C","17/12/2010","ANGUS","FORFAR"
"51648","100 ELDERPARK STREET, CRAIGTON ROAD, NIMMO DRIVE, ELDERPARK WORKSPACE (FORMER GALBRAITH STORES BAKERY)","C","10/12/2010","GLASGOW, CITY OF","GLASGOW"
"51617","BARRHILL, FORMER ARNSHEEN CHURCH","C","28/10/2010","SOUTH AYRSHIRE","COLMONELL"
"51618","DINGWALL, 14 HIGH STREET","C","28/10/2010","HIGHLAND","DINGWALL"
"51605","HALLYBURTON ESTATE, HALLYBURTON HOUSE, FORMAL GARDEN, TERRACING AND LORIMER GATE","A","05/10/2010","PERTH AND KINROSS","KETTINS"
"51602","HALLYBURTON ESTATE, BALDINNY FARMHOUSE","C","05/10/2010","PERTH AND KINROSS","KETTINS"
"51583","DUNDONALD, DANKEITH LEISURE CENTRE, DANKEITH HOUSE","B","09/08/2010","SOUTH AYRSHIRE","SYMINGTON"
"51553","AUCHENTIBER HOUSE, INCLUDING OUTBUILDINGS AND BOUNDARY WALLS AND GATEPIERS","C","04/06/2010","EAST AYRSHIRE","STEWARTON"
"51503","EASTER BALMORAL, BURNSIDE","C","12/03/2010","ABERDEENSHIRE","CRATHIE AND BRAEMAR"
"51498","BALMORAL CASTLE, WAR MEMORIAL","C","12/03/2010","ABERDEENSHIRE","CRATHIE AND BRAEMAR"
"51497","BALMORAL CASTLE, VENISON LARDER","A","12/03/2010","ABERDEENSHIRE","CRATHIE AND BRAEMAR"
"51490","BALMORAL CASTLE, SOUTH GARDEN AND QUEEN MARY'S GARDEN INCLUDING GREENHOUSES, TOOL SHEDS AND FOUNTAIN","B","12/03/2010","ABERDEENSHIRE","CRATHIE AND BRAEMAR"
"51485","BALMORAL CASTLE, PRINCESS ALICE'S MONUMENT","C","12/03/2010","ABERDEENSHIRE","CRATHIE AND BRAEMAR"
"51486","BALMORAL CASTLE, PUTTO FOUNTAIN ON EASTERN PANTERRE","B","12/03/2010","ABERDEENSHIRE","CRATHIE AND BRAEMAR"
"51463","BALMORAL CASTLE, BRIDGE LODGE (POLICE BARRACKS)","B","12/03/2010","ABERDEENSHIRE","CRATHIE AND BRAEMAR"
"51462","BALMORAL CASTLE, BENCH","C","12/03/2010","ABERDEENSHIRE","CRATHIE AND BRAEMAR"
"51519","INVERGELDER OLD FARMHOUSE","B","12/03/2010","ABERDEENSHIRE","CRATHIE AND BRAEMAR"
"51510","EASTER BALMORAL, POST OFFICE SHOP AND TIGH-NA-BARR","B","12/03/2010","ABERDEENSHIRE","CRATHIE AND BRAEMAR"
"51454","GLENMUIK, ALLT-NA-GIUBHSAICH, SERVICE COTTAGE AND OUTBUILDING","C","12/03/2010","ABERDEENSHIRE","GLENMUICK, TULLICH AND GLENGAIRN"
"51452","DORSINCILLY STEADING AND HOUSE","B","12/03/2010","ABERDEENSHIRE","GLENMUICK, TULLICH AND GLENGAIRN"
"51438","MONCREIFFE ESTATE, FILTER BED AND WATER TANK","C","12/03/2010","PERTH AND KINROSS","DUNBARNEY"
"51432","BRUCE STREET, FORMER PUBLIC BATHS FACADE AND SWIMMING POOL","C","03/03/2010","WEST DUNBARTONSHIRE","CLYDEBANK"
"51428","NEW LANARK ROAD, BRAXFIELD HOUSE, DAIRY","C","19/02/2010","SOUTH LANARKSHIRE","LANARK"
"51423","RAF LEUCHARS, TECHNICAL SIDE, GENERAL SERVICE AIRCRAFT SHEDS,  BUILDINGS 55 AND 57","A","08/02/2010","FIFE","LEUCHARS"
"51420","RAF LEUCHARS, DOMESTIC SIDE, OFFICERS' MESS, BUILDING NOS 10, 11, 65 AND 175","C","08/02/2010","FIFE","LEUCHARS"
"51417","RAF LEUCHARS, DOMESTIC SIDE, BARRACKS BLOCKS, BUILDINGS 1, 2, 3 AND 5","C","08/02/2010","FIFE","LEUCHARS"
"51412","MAINS PARISH WWI BLACK WATCH MEMORIAL, CAIRD PARK","B","14/01/2010","DUNDEE, CITY OF","DUNDEE"
"51408","MARKET SQUARE, BRIGEND THEATRE","C","14/12/2009","DUMFRIES AND GALLOWAY","DUMFRIES"
"51398","284 AND 286 HIGH STREET AND 7 LICKLEY STREET, PEDDIE'S BUILDING","C","09/11/2009","PERTH AND KINROSS","PERTH"
"51397","GUARDBRIDGE, PAPER MILL (FORMER), BOILER HOUSE (MILL BUILDING 49) AND STALK","B","11/11/2009","FIFE","LEUCHARS"
"51383","FASQUE, SOUTH LODGE, GATEPIERS, GATES AND QUADRANT WALLS","B","29/10/2009","ABERDEENSHIRE","FETTERCAIRN"
"51379","CHAPELTOUN HOUSE","C","30/09/2009","EAST AYRSHIRE","STEWARTON"
"51372","9-13 (ODD NOS) LAINSHAW STREET","C","22/09/2009","EAST AYRSHIRE","STEWARTON"
"51366","15-19 (ODD NOS) PRINCES STREET","C","22/09/2009","PERTH AND KINROSS","PERTH"
"51355","7 SOUTH ST JOHN'S PLACE","C","02/09/2009","PERTH AND KINROSS","PERTH"
"51353","60 DOCK STREET,  INCLUDING 1/L, 2/L AND TOP FLOOR FLATS (ACCESSED FROM AND KNOWN AS 59 DOCK STREET)","C","02/09/2009","DUNDEE, CITY OF","DUNDEE"
"51339","3 MILLER ROW, RIVERSIDE WORKS, (FORMER SQUASH COURT)","B","22/07/2009","EDINBURGH, CITY OF","EDINBURGH"
"51332","KIPPEN HOUSE INCLUDING GATEPIERS AND QUADRANT WALLS","B","01/07/2009","PERTH AND KINROSS","DUNNING"
"51266","MUGDOCK RESERVOIR, BARRACHAN WITH ANCILLARY STRUCTURES (FORMER GLASGOW CORPORATION WATER WORKS)","C","08/12/2008","EAST DUNBARTONSHIRE","NEW KILPATRICK"
"51249","64 PRINCES STREET, BRITISH HOME STORES","B","26/11/2008","EDINBURGH, CITY OF","EDINBURGH"
"51242","WEST STEWART PLACE, ARDENLEA","C","18/11/2008","SCOTTISH BORDERS","HAWICK"
"51230","17, 18 AND 19 SLITRIG CRESCENT","C","18/11/2008","SCOTTISH BORDERS","HAWICK"
"51217","6 AND 7 MANSFIELD SQUARE, FORMER WILTON PARISH MANSE","C","18/11/2008","SCOTTISH BORDERS","HAWICK"
"51199","ELM GROVE AND ORCHARD TERRACE, 1-7 (INCLUSIVE NUMBERS) ELM COURT","C","18/11/2008","SCOTTISH BORDERS","HAWICK"
"51192","BROUGHAM PLACE, TRINITY CHURCH, INCLUDING SESSION HOUSE, VESTRY AND HALLS","C","18/11/2008","SCOTTISH BORDERS","HAWICK"
"51183","CULTS, PITFODELS STATION ROAD, FORMER STATION BUILDING","C","28/10/2008","ABERDEEN, CITY OF","PETERCULTER"
"51181","6 SOUTH GRAY'S CLOSE, PANMURE ST ANNE'S (FORMER ST ANNE'S SCHOOL)","C","26/09/2008","EDINBURGH, CITY OF","EDINBURGH"
"51169","CAMSERNEY, REDGORTON","C","24/09/2008","PERTH AND KINROSS","DULL"
"51160","101, 103 HIGH STREET","C","16/09/2008","EAST LOTHIAN","DUNBAR"
"51159","47-49 LANARK ROAD","C","16/09/2008","EDINBURGH, CITY OF","EDINBURGH"
"51148","BLAIRUSKIN SIGHTING PILLAR (FORMER GLASGOW CORPORATION WATER WORKS)","C","18/08/2008","STIRLING","ABERFOYLE"
"51144","BLAIRGAR BYEWASH (FORMER GLASGOW CORPORATION WATER WORKS)","B","18/08/2008","STIRLING","STRATHBLANE"
"51129","ARDROSS STREET, NORTHERN MEETING PARK PAVILION BUILDING AND BOUNDARY WALLS","B","09/07/2008","HIGHLAND","INVERNESS"
"51122","75 HIGH STREET, THE BESOM INN","C","26/06/2008","SCOTTISH BORDERS","COLDSTREAM"
"51118","43 MAIN STREET, RAILWAY INN","C","26/06/2008","WEST LOTHIAN","WEST CALDER"
"51093","FORMER BREACHACHA ESTATE WALLED GARDEN INCLUDING FORMER GREENHOUSE","C","21/05/2008","ARGYLL AND BUTE","COLL"
"51084","LEITHEN ROAD, MUNICIPAL BUILDINGS AND MEMORIAL HALL","C","21/05/2008","SCOTTISH BORDERS","INNERLEITHEN"
"51074","24 AND 26 CHAPEL STREET, LOTHIAN AND BORDERS CO-OPERATIVE SOCIETY LTD","C","21/05/2008","SCOTTISH BORDERS","INNERLEITHEN"
"51054","GLENEAGLES ROAD, FRIARTON QUARRY, ST MAGDALENE'S GUNPOWDER MAGAZINE","B","21/02/2008","PERTH AND KINROSS","PERTH"
"51043","DUNTOCHER, DUMBARTON ROAD, DUNTOCHER WEST UNITED FREE CHURCH, INCUDING BOUNDARY WALL AND RAILINGS","C","30/01/2008","WEST DUNBARTONSHIRE","OLD KILPATRICK"
"51033","5 AND 7 THE CROSS","C","22/01/2008","SOUTH AYRSHIRE","PRESTWICK"
"52297","THE QUARRY, INCLUDING RAINWATER POND, INNER GARDEN WALLS AND STEPS, WHIM ROAD, GULLANE","B","24/10/2014","EAST LOTHIAN","DIRLETON"
"52239","BOILER HOUSE, OUTBUILDING AND STACK, FORMER ABERDEEN ROYAL INFIRMARY, WOOLMANHILL, SPA STREET, ABERDEEN","B","19/06/2014","ABERDEEN, CITY OF","ABERDEEN"
"52197","FORMER HORSEGANG AND THRESHING BARN, HAZELRIG HOUSE, NEAR AMISFIELD","C","17/04/2014","DUMFRIES AND GALLOWAY","TINWALD"
"52192","HOSPITAL ADMINISTRATION BLOCK, LYNEBANK HOSPITAL, HALBEATH ROAD, DUNFERMLINE","B","02/04/2014","FIFE","DUNFERMLINE"
"52182","ABDIE CURLING CLUB HOUSE, LECTURER'S INCH, LINDORES LOCH, NEAR NEWBURGH","B","17/03/2014","FIFE","ABDIE"
"52159","FAMILY TENNIS CLUB PAVILION, HENDERLAND ROAD, EDINBURGH","C","14/01/2014","EDINBURGH, CITY OF","EDINBURGH"
"52158","FORMER CLUBHOUSE AND EDINBURGH THISTLE CLUBHOUSE, 27 BRAID HILLS APPROACH, EDINBURGH","B","14/01/2014","EDINBURGH, CITY OF","EDINBURGH"
"52137","MAIN STAND, PERTH RACECOURSE, SCONE PALACE PARK","B","13/12/2013","PERTH AND KINROSS","SCONE"
"52127","STOTFIELD ROAD, MORAY GOLF CLUB","C","06/12/2013","MORAY","LOSSIEMOUTH"
"52123","ST FILLAN'S ROMAN CATHOLIC CHURCH, 18 KING STREET, NEWPORT ON TAY","B","27/11/2013","FIFE","NEWPORT-ON-TAY"
"52118","223 OXGANGS ROAD NORTH, COLINTON MAINS PARISH CHURCH INCLUDING BOUNDARY WALLS, GATEPIERS AND RAILINGS","B","14/10/2013","EDINBURGH, CITY OF","EDINBURGH"
"52112","ROSSLYN STREET, FIFE ICE ARENA INCLUDING GATE PIERS AND QUADRANT WALLS","B","05/11/2013","FIFE","KIRKCALDY"
"52108","ESPLANADE, ROYAL WEST OF SCOTLAND AMATEUR BOAT CLUB","B","31/10/2013","INVERCLYDE","GREENOCK"
"52106","8 BALCARRES ROAD, FORMER HONORABLE COMPANY OF EDINBURGH GOLFERS, INCLUDING BOUNDARY WALLS","C","31/10/2013","EAST LOTHIAN","MUSSELBURGH"
"52082","GOURDON, BRAE ROAD, REAR LEADING LIGHT","C","12/09/2013","ABERDEENSHIRE","BERVIE"
"52046","HILLSIDE, FORMER SUNNYSIDE HOSPITAL, HOME TEAM CRICKET PAVILION","C","12/06/2013","ANGUS","MONTROSE"
"51979","GREAT WESTERN ROAD, COUNTESSWELLS ROAD, CRAIGTON ROAD, MANNOFIELD PARISH CHURCH","C","20/11/2012","ABERDEEN, CITY OF","ABERDEEN"
"51972","BLAIRGOWRIE, GOLF COURSE ROAD, LINCROFT","B","05/11/2012","PERTH AND KINROSS","BLAIRGOWRIE"
"51897","LOCHMORE LODGE INCLUDING COTTAGES TO REAR, GAME LARDER, KENNELS AND BOATHOUSE","C","24/04/2012","HIGHLAND","EDDRACHILLIS"
"51892","5 HAWKHILL PLACE, HAWKHILL HOUSE","C","26/03/2012","DUNDEE, CITY OF","DUNDEE"
"51872","AULTNAGAR LODGE INCLUDING FORMER COACH HOUSE, GATES AND GATEPIERS","B","26/01/2012","HIGHLAND","CREICH"
"51822","CULZEAN CASTLE ESTATE, BATTERY AND MAST HOUSE, INCLUDING RETAINING WALL AND FLAGSTONES","B","02/11/2011","SOUTH AYRSHIRE","KIRKOSWALD"
"51812","73 DUNN STREET, FORMER DALMARNOCK IRONWORKS","C","02/11/2011","GLASGOW, CITY OF","GLASGOW"
"51777","3-9 (ODD NOS) VICTORIA PLACE","B","19/07/2011","EAST LOTHIAN","DUNBAR"
"51776","1-6 (CONSECUTIVE NOS) HARBOUR COURT, CASTLE GATE","B","19/07/2011","EAST LOTHIAN","DUNBAR"
"51747","BOW BUTTS, FORMER BONDED WAREHOUSE","C","03/06/2011","ANGUS","MONTROSE"
"51713","TUMMEL GARRY HYDRO ELECTRIC SCHEME, CLUNIE DAM","B","11/02/2011","PERTH AND KINROSS","MOULIN"
"51706","CONON VALLEY HYDRO ELECTRIC SCHEME, LOCH GLASCARNOCH DAM","B","11/02/2011","HIGHLAND","CONTIN"
"51707","CONON VALLEY HYDRO ELECTRIC SCHEME, VAICH DAM, INCLUDING SPILLWAY TOWERS AND WEIR","C","11/02/2011","HIGHLAND","CONTIN"
"51703","GLEN AFFRIC HYDRO ELECTRIC SCHEME, MULLARDOCH DAM","B","11/02/2011","HIGHLAND","KILMORACK"
"51692","GALLOWAY HYDROELECTRIC POWER SCHEME, KENDOON SOUTH DAM","C","11/02/2011","DUMFRIES AND GALLOWAY","CARSPHAIRN"
"51677","KILMACOLM CEMETERY, HEADSTONE FOR JAMES REID","B","11/01/2011","INVERCLYDE","KILMACOLM"
"51662","LAMINGTON BRIDGE","B","17/12/2010","SOUTH LANARKSHIRE","WANDEL AND LAMINGTON"
"51652","SOLSGIRTH HOUSE","B","10/12/2010","PERTH AND KINROSS","FOSSOWAY"
"51643","HILLSIDE, FORMER KINNABER WATER WORKS","C","23/11/2010","ANGUS","MONTROSE"
"51641","16 AND 18 METHVEN STREET","B","19/11/2010","PERTH AND KINROSS","PERTH"
"51632","WEST LINTON, ST ANDREW'S CHURCH HALL (FORMER SOMERVAIL SCHOOL)","C","04/11/2010","SCOTTISH BORDERS","LINTON"
"51629","WEST LINTON, CHAPEL BRAE, ST MUNGO'S EPISCOPAL CHURCH","C","04/11/2010","SCOTTISH BORDERS","LINTON"
"51622","GREENSIDE STREET, OLD PATON'S MILL SCHOOL","C","28/10/2010","CLACKMANNAN","ALLOA"
"51610","TIGERTON, FINGERPOST","C","05/10/2010","ANGUS","MENMUIR"
"51604","HALLYBURTON ESTATE, HA-HA TO NW AND SE OF HALLYBURTON HOUSE AND TO MAIN DRIVEWAY","B","05/10/2010","PERTH AND KINROSS","KETTINS"
"51597","COREHOUSE STOVE HOUSE (OR VINERY)","C","16/09/2010","SOUTH LANARKSHIRE","LESMAHAGOW"
"51578","BARRHEAD, 5 ARTHURLIE AVENUE, FERNDEAN INCLUDING GATEPIERS","C","22/07/2010","EAST RENFREWSHIRE","BARRHEAD"
"51568","NEWTON ST BOSWELLS, TWEEDSIDE ROAD, TAYNUILT INCLUDING GARAGE, GATEPIERS AND BOUNDARY WALLS","C","22/07/2010","SCOTTISH BORDERS","MELROSE"
"51564","GATTONSIDE TOLL","C","22/07/2010","SCOTTISH BORDERS","MELROSE"
"51499","BALMORAL CASTLE, WEST LODGE WITH GATEPIERS AND QUADRANT WALLS","B","12/03/2010","ABERDEENSHIRE","CRATHIE AND BRAEMAR"
"51493","BALMORAL CASTLE, STATUE OF JOHN BROWN","A","12/03/2010","ABERDEENSHIRE","CRATHIE AND BRAEMAR"
"51480","BALMORAL CASTLE, KARIM COTTAGE","C","12/03/2010","ABERDEENSHIRE","CRATHIE AND BRAEMAR"
"51477","BALMORAL CASTLE, GATE LODGE","B","12/03/2010","ABERDEENSHIRE","CRATHIE AND BRAEMAR"
"51478","BALMORAL CASTLE, ICE HOUSE","C","12/03/2010","ABERDEENSHIRE","CRATHIE AND BRAEMAR"
"51470","BALMORAL CASTLE, DRINKING FOUNTAIN BY CRICKET GROUND","C","12/03/2010","ABERDEENSHIRE","CRATHIE AND BRAEMAR"
"51471","BALMORAL CASTLE, DUKE OF SAXE-COBURG GOTHA MEMORIAL CROSS","C","12/03/2010","ABERDEENSHIRE","CRATHIE AND BRAEMAR"
"51509","EASTER BALMORAL, PAVILION (CURLING CLUB)","C","12/03/2010","ABERDEENSHIRE","CRATHIE AND BRAEMAR"
"51455","GLENMUIK, ALLT-NA-GIUBHSAICH, GIG HOUSE AND STABLES","C","12/03/2010","ABERDEENSHIRE","GLENMUICK, TULLICH AND GLENGAIRN"
"51447","BIRKHALL, LARDERS","C","12/03/2010","ABERDEENSHIRE","GLENMUICK, TULLICH AND GLENGAIRN"
"51427","BONNINGTON MAINS","B","19/02/2010","SOUTH LANARKSHIRE","LANARK"
"51410","HADDO HOUSE HALL","B","14/12/2009","ABERDEENSHIRE","METHLICK"
"51400","MILLEARNE, SOUTH GATEWAY, GATES AND BOUNDARY WALLS","C","25/11/2009","PERTH AND KINROSS","TRINITY GASK"
"51385","FASQUE, NOS 1, 3, 4, 5 AND 6 OLD MAINS COTTAGES","C","29/10/2009","ABERDEENSHIRE","FETTERCAIRN"
"51384","FASQUE, MAINS OF FASQUE HOUSE INCLUDING ANCILLARY BUILDINGS AND GATES","C","29/10/2009","ABERDEENSHIRE","FETTERCAIRN"
"51368","SCOTT STREET, PERTH METHODIST CHURCH","C","22/09/2009","PERTH AND KINROSS","PERTH"
"51341","1-8 (INCLUSIVE NUMBERS) ROTHESAY MEWS","C","22/07/2009","EDINBURGH, CITY OF","EDINBURGH"
"51327","STIRLING UNIVERSITY CAMPUS, PATHFOOT BUILDING","A","15/05/2009","STIRLING","LOGIE"
"51317","78 AND 78A INVERLEITH PLACE","C","30/04/2009","EDINBURGH, CITY OF","EDINBURGH"
"51296","BOWLAND POLICIES, DRYBURN (HOUSE, MILL BUILDINGS AND DAM BRIDGE)","C","17/03/2009","SCOTTISH BORDERS","STOW"
"51269","51, 51A LANARK ROAD, FORMER CHALMERS MEMORIAL HALL","C","12/12/2008","EDINBURGH, CITY OF","EDINBURGH"
"51265","LENZIE, 98-116 (EVEN NOS) KIRKINTILLOCH ROAD, QUEEN'S BUILDING","C","08/12/2008","EAST DUNBARTONSHIRE","KIRKINTILLOCH"
"51241","152 WEENSLAND ROAD, HERONHILL LODGE, INCLUDING GATEPIER","C","18/11/2008","SCOTTISH BORDERS","HAWICK"
"51232","SUNNYHILL ROAD, EAST AND WEST LANGLANDS, INCLUDING GARDEN PAVILION, BOUNDARY WALL AND GATEPIER","C","18/11/2008","SCOTTISH BORDERS","HAWICK"
"51210","77 AND 79 HIGH STREET","C","18/11/2008","SCOTTISH BORDERS","HAWICK"
